PID,ArrivalTime,BurstTime,FCFS_Start,FCFS_Completion,FCFS_Waiting,FCFS_Turnaround,FCFS_Response,SJF_Start,SJF_Completion,SJF_Waiting,SJF_Turnaround,SJF_Response
1,0,5,0,5,0,5,0,123,128,123,128,123
10,0,2,5,7,5,7,5,310,318,308,316,308
18,0,1,7,8,7,8,7,16,18,11,13,11
29,0,5,8,13,8,13,8,318,326,311,319,311
35,0,8,13,21,13,21,13,9,10,0,1,0
64,0,8,21,29,21,29,21,205,212,197,204,197
67,0,2,29,31,29,31,29,163,169,154,160,154
77,0,3,31,34,31,34,31,212,219,203,210,203
11,1,7,34,41,33,40,33,52,55,46,49,46
24,1,8,41,49,40,48,40,18,20,18,20,18
28,1,6,49,55,48,54,48,219,226,218,225,218
41,1,7,55,62,54,61,54,20,22,18,20,18
44,1,2,62,64,61,63,61,326,334,324,332,324
50,1,1,64,65,63,64,63,226,233,224,231,224
51,1,4,65,69,64,68,64,128,133,119,124,119
66,1,1,69,70,68,69,68,55,58,46,49,46
73,1,4,70,74,69,73,69,22,24,16,18,16
74,1,7,74,81,73,80,73,0,1,0,1,0
84,1,5,81,86,80,85,80,2,3,0,1,0
2,2,8,86,94,84,92,84,133,138,131,136,131
12,2,2,94,96,92,94,92,24,26,20,22,20
13,2,8,96,104,94,102,94,26,28,18,20,18
14,2,7,104,111,102,109,102,10,11,1,2,1
19,2,1,111,112,109,110,109,334,342,333,341,333
20,2,5,112,117,110,115,110,169,175,159,165,159
27,2,3,117,120,115,118,115,342,350,337,345,337
43,2,1,120,121,118,119,118,58,61,56,59,56
45,2,1,121,122,119,120,119,175,181,174,180,174
57,2,3,122,125,120,123,120,138,143,138,143,138
70,2,8,125,133,123,131,123,61,64,56,59,56
88,2,6,133,139,131,137,131,28,30,18,20,18
53,3,7,139,146,136,143,136,30,32,22,24,22
58,3,1,146,147,143,144,143,350,358,346,354,346
62,3,7,147,154,144,151,144,233,240,228,235,228
72,3,1,154,155,151,152,151,358,366,358,366,358
75,3,7,155,162,152,159,152,32,34,26,28,26
82,3,4,162,166,159,163,159,64,67,59,62,59
83,3,1,166,167,163,164,163,34,36,24,26,24
89,3,1,167,168,164,165,164,67,70,57,60,57
90,3,8,168,176,165,173,165,143,148,134,139,134
98,3,3,176,179,173,176,173,240,247,239,246,239
21,4,2,179,181,175,177,175,7,8,0,1,0
33,4,8,181,189,177,185,177,3,4,1,2,1
48,4,8,189,197,185,193,185,36,38,35,37,35
54,4,7,197,204,193,200,193,4,5,2,3,2
60,4,4,204,208,200,204,200,38,40,33,35,33
69,4,4,208,212,204,208,204,366,374,358,366,358
80,4,3,212,215,208,211,208,374,382,370,378,370
92,4,8,215,223,211,219,211,247,254,242,249,242
93,4,8,223,231,219,227,219,1,2,0,1,0
3,5,2,231,233,226,228,226,91,95,90,94,90
26,5,8,233,241,228,236,228,254,261,244,251,244
30,5,3,241,244,236,239,236,261,268,258,265,258
34,5,7,244,251,239,246,239,268,275,264,271,264
37,5,3,251,254,246,249,246,275,282,270,277,270
46,5,2,254,256,249,251,249,5,6,0,1,0
49,5,7,256,263,251,258,251,70,73,68,71,68
55,5,7,263,270,258,265,258,6,7,3,4,3
56,5,1,270,271,265,266,265,95,99,85,89,85
61,5,4,271,275,266,270,266,99,103,95,99,95
79,5,6,275,281,270,276,270,103,107,98,102,98
9,6,3,281,284,275,278,275,282,289,279,286,279
17,6,2,284,286,278,280,278,107,111,101,105,101
36,6,2,286,288,280,282,280,382,390,382,390,382
63,6,4,288,292,282,286,282,8,9,0,1,0
71,6,3,292,295,286,289,286,11,12,10,11,10
76,6,2,295,297,289,291,289,40,42,40,42,40
78,6,2,297,299,291,293,291,181,187,172,178,172
97,6,2,299,301,293,295,293,111,115,107,111,107
4,7,8,301,309,294,302,294,390,398,388,396,388
42,7,1,309,310,302,303,302,73,76,67,70,67
85,7,5,310,315,303,308,303,12,13,9,10,9
87,7,6,315,321,308,314,308,115,119,114,118,114
94,7,5,321,326,314,319,314,289,296,288,295,288
6,8,7,326,333,318,325,318,296,303,293,300,293
22,8,2,333,335,325,327,325,42,44,36,38,36
32,8,2,335,337,327,329,327,76,79,76,79,76
47,8,8,337,345,329,337,329,44,46,38,40,38
65,8,1,345,346,337,338,337,187,193,182,188,182
81,8,3,346,349,338,341,338,79,82,75,78,75
95,8,8,349,357,341,349,341,82,85,74,77,74
96,8,7,357,364,349,356,349,119,123,116,120,116
5,9,1,364,365,355,356,355,13,14,10,11,10
7,9,6,365,371,356,362,356,148,153,147,152,147
8,9,7,371,378,362,369,362,153,158,146,151,146
15,9,5,378,383,369,374,369,46,48,36,38,36
16,9,3,383,386,374,377,374,193,199,186,192,186
23,9,1,386,387,377,378,377,199,205,197,203,197
40,9,5,387,392,378,383,378,14,15,11,12,11
68,9,6,392,398,383,389,383,398,406,395,403,395
99,9,1,398,399,389,390,389,85,88,75,78,75
25,10,6,399,405,389,395,389,406,414,402,410,402
31,10,2,405,407,395,397,395,414,422,410,418,410
38,10,2,407,409,397,399,397,158,163,151,156,151
39,10,3,409,412,399,402,399,422,430,414,422,414
52,10,7,412,419,402,409,402,303,310,295,302,295
59,10,4,419,423,409,413,409,48,50,42,44,42
86,10,2,423,425,413,415,413,88,91,85,88,85
91,10,3,425,428,415,418,415,15,16,6,7,6
100,10,2,428,430,418,420,418,50,52,40,42,40
